issue,commit fix,commit blame,file,match
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,e67ba60a5938b35958531b17f0db2743abffc6e3,src/main/java/org/apache/commons/math/ode/nonstiff/RungeKuttaIntegrator.java,0
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,e67ba60a5938b35958531b17f0db2743abffc6e3,src/main/java/org/apache/commons/math/ode/sampling/StepNormalizer.java,0
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,dc9278a2aa4e5c307a46dd1b1d33d93bf536c8bc,src/main/java/org/apache/commons/math/ode/nonstiff/GraggBulirschStoerIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,54c0e73219f22eba7bac1c1f7261576564b34f16,src/main/java/org/apache/commons/math/ode/sampling/StepHandler.java,0
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,f8254ebbd3ce543854e93539eb0a3375e8e406b6,src/main/java/org/apache/commons/math/ode/sampling/DummyStepHandler.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,81e8b4f0d1c7dc174f7bbceac6c0478f8c3859fd,src/main/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,81e8b4f0d1c7dc174f7bbceac6c0478f8c3859fd,src/main/java/org/apache/commons/math/ode/nonstiff/GraggBulirschStoerIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,81e8b4f0d1c7dc174f7bbceac6c0478f8c3859fd,src/main/java/org/apache/commons/math/ode/nonstiff/RungeKuttaIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,73a8e5d165e7f61b936322b0717f894dd823d855,src/main/java/org/apache/commons/math/ode/nonstiff/GraggBulirschStoerIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,fef497d841ff264fe73ced794b49ba6710002df3,src/main/java/org/apache/commons/math/ode/AbstractIntegrator.java,1
